--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
test2/task3\0AWNnXyuce8j9KSZ.png	sf9v                     	0.9788
test2/task3\0Br3PVWlfhBvHLVO.png	jvxd                     	0.9962
test2/task3\0JOX4dCun7iRfeip.png	rx32                     	0.9642
test2/task3\0MLGrR754RLVWAwm.png	e1r8                     	0.9986
test2/task3\0SYM10WTpq6bLwQP.png	xsk0                     	0.9988
test2/task3\0VkfvM4ejtt3xb31.png	wyj6                     	0.7983
test2/task3\0XjieS3h2nU6hxrY.png	j114                     	0.9982
test2/task3\0YjC6hAGnDjJQe32.png	detp                     	0.9965
test2/task3\0ZAJwkhDYxrXa8iK.png	53ej                     	0.9984
test2/task3\0cf5zlIL0alhhV1w.png	a0vh                     	0.5139
test2/task3\0dz3bF290JJtrNKX.png	yx7r                     	0.9983
test2/task3\0e6tTOlAm4s3zhnN.png	3swn                     	0.9861
test2/task3\0fXGic2WptTCYia4.png	fjtk                     	0.9982
test2/task3\0hcg9fBQUGJ2kS3N.png	7x20                     	0.9987
test2/task3\0hiAX7Zcoxn3nIva.png	re8a                     	0.9973
test2/task3\0l3SzIVoXzjJkgCc.png	p58n                     	0.9977
test2/task3\0nEv9pGzFw5RX1rt.png	yjep                     	0.9952
test2/task3\0tiHNuI7wsx7XdvG.png	yk7d                     	0.9988
test2/task3\0uOc8dDmzaQPMHWa.png	ds17                     	0.9863
test2/task3\1EW5nwKxELD7BIAH.png	adhh                     	0.9985
test2/task3\1FcbTFEH3LyLmYnn.png	rmj7                     	0.9968
test2/task3\1HIXkBYNcfDbZTXH.png	0wc7                     	0.9985
test2/task3\1IMTFGTaaQiySSOB.png	015x                     	0.5863
test2/task3\1KMFcLqb1qydZxiP.png	c7dn                     	0.9968
test2/task3\1YfMz93kJqgGZGa3.png	8cke                     	0.9965
test2/task3\1gzyGBZh7lAuKG9G.png	4dp2                     	0.9979
test2/task3\1jxprm1vxvvuCzVy.png	phdd                     	0.9990
test2/task3\1kfQZsQVEcsoRnXF.png	66w9                     	0.9992
test2/task3\1kysCZdym7ESy7A3.png	2x53                     	0.9982
test2/task3\1tFHZ1wB8xsOJjtV.png	v1sn                     	0.9940
test2/task3\1xKwacVKJUgAOHDR.png	hpdw                     	0.9985
test2/task3\2AckBBwB9BJYpWzi.png	cvas                     	0.9988
test2/task3\2DVKukaar7oXnySb.png	66dv                     	0.9974
test2/task3\2Mrk0lURu9ZFW3QE.png	kjt7                     	0.9965
test2/task3\2N2jCnpV2LaA1mDz.png	vr0j                     	0.9980
test2/task3\2NVNCRZvvJvw2CN6.png	phkh                     	0.9987
test2/task3\2Xu4BERq5dsWM11y.png	50h1                     	0.9971
